"Tender/Ref No.","Title","Agency","Procurement Category","Source","Scope Summary","Publish Date/Time","Closing Date/Time","Status","Link"
"DEFNGPP7126101695","Supplementary Pre-Qualification Exercise To Tender For Mindef Construction Projects (2nd Half-Yearly Exercise For Year 2026)","Ministry of Defence 6","Miscellaneous ⇒ Others","GeBIZ","","16 Sep 2026 12:05 AM","15 Mar 2027 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DEFNGPP7126101695"
"NEA000ETT26000045","Tender for Supply, Delivery, Installation and Commissioning of Safety Enhancement Features at Air Monitoring Stations","National Environment Agency","Miscellaneous ⇒ Others","GeBIZ","Tender (GeBIZ listing)","16 Sep 2026 12:05 AM","14 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NEA000ETT26000045"
"DEFNGPP7126101686","F-15 Aircraft Spares","Ministry of Defence 6","Miscellaneous ⇒ Others","GeBIZ","","16 Sep 2026 12:05 AM","28 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DEFNGPP7126101686"
"NEA000ETQ26000094","Maintenance of Remote Generator Monitoring System in Tuas South Incineration Plant","National Environment Agency","Facilities Management ⇒ Building, M&E Maintenance","GeBIZ","Quotation (GeBIZ listing)","16 Sep 2026 12:05 AM","12 Oct 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=NEA000ETQ26000094"
"MOESCHETQ26003858","Geylang Methodist School (Secondary) Artist in School Scheme Talent Development Vocal Performance Programme","Ministry of Education - Schools","Administration & Training ⇒ Courses","GeBIZ","Quotation (GeBIZ listing)","16 Sep 2026 12:05 AM","25 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003858"
"MOESCHETQ26003852","Geylang Methodist School (Secondary) School Bookshop Agreement 1Jan2027 to 31Dec2028 Option 2029","Ministry of Education - Schools","Furniture, Office Equipment & Audio-Visual ⇒ Copiers","GeBIZ","Quotation (GeBIZ listing)","16 Sep 2026 12:05 AM","29 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003852"
"MOESCHETQ26003886","SUPPLY OF CUSTOMISED WHITEBOARDS, AND CUSTOMISED ACCOMPANYING MAGNETIC STRIPS IN CLASSROOMS","Ministry of Education - Schools","Furniture, Office Equipment & Audio-Visual ⇒ Furniture","GeBIZ","Quotation (GeBIZ listing)","15 Sep 2026 06:20 PM","24 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003886"
"MOESCHETQ26003870","PROVISION OF SCHOOL UNIFORM SERVICES IN CEDAR PRIMARY SCHOOL.","Ministry of Education - Schools","Services ⇒ Tailoring","GeBIZ","Quotation (GeBIZ listing)","15 Sep 2026 06:20 PM","28 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003870"
"DEFNGPP7126100684","Repainting of Buildings and Structures","Ministry of Defence 6","Miscellaneous ⇒ Others","GeBIZ","","15 Sep 2026 06:05 PM","28 Oct 2026 04:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=DEFNGPP7126100684"
"MOESCHETQ26003879","Supply of Labour and Materials for Maintenance of the School Garden Learning Trail","Ministry of Education - Schools","Facilities Management ⇒ Horticulture Works","GeBIZ","Quotation (GeBIZ listing)","15 Sep 2026 06:05 PM","25 Sep 2026 01:00PM","Open","https://www.gebiz.gov.sg/ptn/opportunity/directlink.xhtml?docCode=MOESCHETQ26003879"
