"Tender/Ref No.","Title","Agency","Procurement Category","Source","Scope Summary","Publish Date/Time","Closing Date/Time","Status","Link"
"","UNIT AVAILABLE AT SAFRA TAMPINES (#02-03)","SAFRA National Service Association","Others: Others","TenderBoard","","24 Sep","7 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","TO QUOTE AND SUPPLY 12 VARIETY FLAVOURS CAKES (WITHOUT DECORATION) FOR MONTHLY PROMOTION PERIOD JAN 2027-DEC 2027","The Singapore Island Country Club","Others: Others","TenderBoard","","24 Sep","7 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","Professional Services for Technical Upgrade of Progress Sitefinity Content Management System (CMS)","SAFRA National Service Association","IT&Telecommunication: IT Services & Software Development","TenderBoard","","24 Sep","6 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","DESIGN DEVELOPMENT, FABRICATION, AND INSTALLATION WORKS AT SINGAPORE NAVY MUSEUM FOR THE COUNTY-CLASS LANDING SHIP TANKS (LSTs) OF THE RSN EXHIBITION","Defence Collective Singapore Ltd","Construction: Others","TenderBoard","","24 Sep","23 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of Travel Management Services for China Study Trip from 27 Oct 2026 to 31 Oct 2026","Pathlight School (Ang Mo Kio)","Not Specified","TenderBoard","","24 Sep","30 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","TGA 2026: Emcee","Singapore Kindness Movement","Event Organising, Food & Beverages: Event Organising","TenderBoard","","24 Sep","1 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ - Futsal ( Kids camp )","The Singapore Island Country Club","Administration & Training: Courses","TenderBoard","","24 Sep","30 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Fresh Sutchi Fillet","Sree Narayana Mission (Singapore)","Others: Others","TenderBoard","","24 Sep","1 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","Provision of Medical Transportation Services","KWONG WAI SHIU HOSPITAL","Not Specified","TenderBoard","","24 Sep","14 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","LED Wash Lighting With Console Control Cable Cabling and Installation","TANGLIN CLUB","Others: Others","TenderBoard","","24 Sep","8 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","RFQ - K-POP / HIP-HOP DANCE FOR KIDS (25TH NOVEMBER 2026)","The Singapore Island Country Club","Administration & Training: Courses","TenderBoard","","24 Sep","30 Sep","Live","https://www.tenderboard.biz/singaporetenders"
"","Procurement of Vendor for Production of Snoopy Merchandise","Singapore Red Cross Society","Services: Professional Services","TenderBoard","","24 Sep","1 Oct","Live","https://www.tenderboard.biz/singaporetenders"
"","REQUEST FOR QUOTATION (RFQ) FOR THE PROVISION OF CYBERSECURITY TESTING SERVICES FOR EXHIBITION DIGITAL INTERACTIVES FOR CHILDREN’S MUSEUM SINGAPORE UNDER HERITAGESG (HSG)","HeritageSG","IT&Telecommunication: IT Services & Software Development","TenderBoard","","24 Sep","2 Oct","Live","https://www.tenderboard.biz/singaporetenders"
